fournisseur;ref_sku;nom_commercial;famille;categorie;gamme;tags;url_source;date_collecte
Bridor;42450;Pastel de Nata 60g;PATI;pastel-de-nata;Panidor;Matière Grasse Végétale;https://www.bridor.com/fr-fr/catalogue-produit/patisserie/pastel-de-nata/pastel-de-nata-60g-42450;2026-09-10
Bridor;41370;Pastel de Nata 60g;PATI;pastel-de-nata;Panidor;Matière Grasse Végétale;https://www.bridor.com/fr-fr/catalogue-produit/patisserie/pastel-de-nata/pastel-de-nata-60g-41370;2026-09-10
Bridor;39747;Pastel de Nata 60g;PATI;pastel-de-nata;Panidor;Beurre Fin;https://www.bridor.com/fr-fr/catalogue-produit/patisserie/pastel-de-nata/pastel-de-nata-60g-39747;2026-09-10
Bridor;30081;plaque de pâte feuilletée 2kg;PATI;pates-feuilletees;Les Créatives;Beurre Charentes-Poitou AOP;https://www.bridor.com/fr-fr/catalogue-produit/patisserie/pates-feuilletees/plaque-de-pate-feuilletee-2kg-30081;2026-09-10
Bridor;34171;plaque de pâte feuilletée 300g;PATI;pates-feuilletees;Les Créatives;Beurre Fin;https://www.bridor.com/fr-fr/catalogue-produit/patisserie/pates-feuilletees/plaque-de-pate-feuilletee-300g-34171;2026-09-10
Bridor;34813;plaque de pâte levée feuilletée 500g;PATI;pates-feuilletees;Les Créatives;Beurre Fin;https://www.bridor.com/fr-fr/catalogue-produit/patisserie/pates-feuilletees/plaque-de-pate-levee-feuilletee-500g-34813;2026-09-10
Bridor;41591;Bola de Berlim creamy 120g;PATI;autres-patisseries;Panidor;Matière Grasse Composée;https://www.bridor.com/fr-fr/catalogue-produit/patisserie/autres-patisseries/bola-de-berlim-creamy-120g-41591;2026-09-10
Bridor;41588;Bola de Berlim Nature 80g;PATI;autres-patisseries;Panidor;Matière Grasse Composée;https://www.bridor.com/fr-fr/catalogue-produit/patisserie/autres-patisseries/bola-de-berlim-nature-80g-41588;2026-09-10
Bridor;35431;Briochette Sans Gluten 50g;VIEN;autres-viennoiseries;Mieux-être;Beurre Fin;https://www.bridor.com/fr-fr/catalogue-produit/patisserie/autres-patisseries/briochette-sans-gluten-50g-35431;2026-09-10
Bridor;35430;Madeleine Sans Gluten 30g;PATI;autres-patisseries;Mieux-être;Beurre Fin;https://www.bridor.com/fr-fr/catalogue-produit/patisserie/autres-patisseries/madeleine-sans-gluten-30g-35430;2026-09-10
Bridor;38973;Muffin Chocolat aux éclats de chocolat 95g;PATI;patisserie-americaine;Les Evasions;;https://www.bridor.com/fr-fr/catalogue-produit/patisserie/autres-patisseries/muffin-chocolat-aux-eclats-de-chocolat-95g-38973;2026-09-10
Bridor;38978;Muffin Chocolat fourré choco-noisettes 120g;PATI;patisserie-americaine;Les Evasions;;https://www.bridor.com/fr-fr/catalogue-produit/patisserie/autres-patisseries/muffin-chocolat-fourre-choco-noisettes-120g-38978;2026-09-10
Bridor;38974;Muffin Myrtilles 95g;PATI;patisserie-americaine;Les Evasions;;https://www.bridor.com/fr-fr/catalogue-produit/patisserie/autres-patisseries/muffin-myrtilles-95g-38974;2026-09-10
