fournisseur;ref_sku;nom_commercial;famille;categorie;poids_piece;unites_par_colis;url_source;date_collecte
Coup de Pates;840604;LE ROCHER NOISETTE CARAMEL 240 MM;PATI;patisserie;600g;2;https://shop.coupdepates.fr/TOUS-LES-PRODUITS/P%C3%82TISSERIE/ENTREMETS/LE-ROCHER-NOISETTE-CARAMEL-240-MM/p/840604;2026-09-10
Coup de Pates;840603;LE ROCHER NOISETTE CARAMEL 160 MM;PATI;patisserie;400g;4;https://shop.coupdepates.fr/TOUS-LES-PRODUITS/P%C3%82TISSERIE/ENTREMETS/LE-ROCHER-NOISETTE-CARAMEL-160-MM/p/840603;2026-09-10
Coup de Pates;840833;DEMI CADRE VANILLE FRUITS ROUGES CUIT 2450G;PATI;autres-patisseries;;1;https://shop.coupdepates.fr/TOUS-LES-PRODUITS/P%C3%82TISSERIE/ENTREMETS/DEMI-CADRE-VANILLE-FRUITS-ROUGES-CUIT-2450G/p/840833;2026-09-10
Coup de Pates;840837;CRUMBLE POMME FRUITS ROUGES CUIT 100G;PATI;autres-patisseries;100g;12;https://shop.coupdepates.fr/TOUS-LES-PRODUITS/P%C3%82TISSERIE/ENTREMETS/CRUMBLE-POMME-FRUITS-ROUGES-CUIT-100G/p/840837;2026-09-10
Coup de Pates;841491;POIRE EN TROMPE L OEIL CUIT 90G;PATI;patisserie;90g;8;https://shop.coupdepates.fr/TOUS-LES-PRODUITS/P%C3%82TISSERIE/ENTREMETS/POIRE-EN-TROMPE-L-OEIL-CUIT-90G/p/841491;2026-09-10
Coup de Pates;841492;POMME EN TROMPE L OEIL CUIT 80G;PATI;patisserie;80g;8;https://shop.coupdepates.fr/TOUS-LES-PRODUITS/P%C3%82TISSERIE/ENTREMETS/POMME-EN-TROMPE-L-OEIL-CUIT-80G/p/841492;2026-09-10
Coup de Pates;841494;TARTE FINE FIGUE CUIT DIAMETRE 130MM 120G;PATI;autres-patisseries;120g;12;https://shop.coupdepates.fr/TOUS-LES-PRODUITS/P%C3%82TISSERIE/TARTES-%26-TARTELETTES/TARTE-FINE-FIGUE-CUIT-DIAMETRE-130MM-120G/p/841494;2026-09-10
Coup de Pates;841495;TARTE FINE POMME CUITE DIAMETRE 130MM 120G;PATI;autres-patisseries;120g;12;https://shop.coupdepates.fr/TOUS-LES-PRODUITS/P%C3%82TISSERIE/TARTES-%26-TARTELETTES/TARTE-FINE-POMME-CUITE-DIAMETRE-130MM-120G/p/841495;2026-09-10
Coup de Pates;841540;MONT BLANC INDIVIDUEL DIAMETRE 70 CUIT 75G;PATI;patisserie;75g;8;https://shop.coupdepates.fr/TOUS-LES-PRODUITS/P%C3%82TISSERIE/ENTREMETS/MONT-BLANC-INDIVIDUEL-DIAMETRE-70-CUIT-75G/p/841540;2026-09-10
Coup de Pates;70005;ECLAIR PISTACHE CUIT 100G;PATI;autres-patisseries;100g;12;https://shop.coupdepates.fr/TOUS-LES-PRODUITS/P%C3%82TISSERIE/P%C3%82TE-%C3%80-CHOUX-%26-BABAS/ECLAIR-PISTACHE-CUIT-100G/p/70005;2026-09-10
Coup de Pates;70007;LINGOT CROUSTILLANT CHOCOLAT CARAMEL CUIT 84G;PATI;patisserie;84g;16;https://shop.coupdepates.fr/TOUS-LES-PRODUITS/P%C3%82TISSERIE/ENTREMETS/LINGOT-CROUSTILLANT-CHOCOLAT-CARAMEL-CUIT-84G/p/70007;2026-09-10
Coup de Pates;70008;LINGOT CROUSTILLANT FRUITS ROUGES LITCHI CUIT 78G;PATI;patisserie;85g;16;https://shop.coupdepates.fr/TOUS-LES-PRODUITS/P%C3%82TISSERIE/ENTREMETS/LINGOT-CROUSTILLANT-FRUITS-ROUGES-LITCHI-CUIT-78G/p/70008;2026-09-10
Coup de Pates;70009;ENTREMETS CROUSTILLANT CITRON MOUSSE VANILLE EN BANDE CUIT 795G;PATI;autres-patisseries;795g;4;https://shop.coupdepates.fr/TOUS-LES-PRODUITS/P%C3%82TISSERIE/ENTREMETS/ENTREMETS-CROUSTILLANT-CITRON-MOUSSE-VANILLE-EN-BANDE-CUIT-795G/p/70009;2026-09-10
Coup de Pates;70010;ECLAIR MANGUE PASSION CUIT 75G;PATI;autres-patisseries;75g;14;https://shop.coupdepates.fr/TOUS-LES-PRODUITS/P%C3%82TISSERIE/P%C3%82TE-%C3%80-CHOUX-%26-BABAS/ECLAIR-MANGUE-PASSION-CUIT-75G/p/70010;2026-09-10
Coup de Pates;70012;ECLAIR FRAMBOISE CUIT 75G;PATI;autres-patisseries;75g;14;https://shop.coupdepates.fr/TOUS-LES-PRODUITS/P%C3%82TISSERIE/P%C3%82TE-%C3%80-CHOUX-%26-BABAS/ECLAIR-FRAMBOISE-CUIT-75G/p/70012;2026-09-10
Coup de Pates;841645;TARTE CROUSTILLANTE AUX POMMES D 240 CRU 890G;PATI;autres-patisseries;890g;3;https://shop.coupdepates.fr/TOUS-LES-PRODUITS/P%C3%82TISSERIE/TARTES-%26-TARTELETTES/TARTE-CROUSTILLANTE-AUX-POMMES-D-240-CRU-890G/p/841645;2026-09-10
Coup de Pates;841643;TARTELETTE CROUSTILLANTE AUX POMMES D 105 CRU 130G;PATI;autres-patisseries;130g;24;https://shop.coupdepates.fr/TOUS-LES-PRODUITS/P%C3%82TISSERIE/TARTES-%26-TARTELETTES/TARTELETTE-CROUSTILLANTE-AUX-POMMES-D-105-CRU-130G/p/841643;2026-09-10
Coup de Pates;841644;TARTE CROUSTILLANTE ABRICOT AMANDE D 240 CRU 900G;PATI;autres-patisseries;900g;3;https://shop.coupdepates.fr/TOUS-LES-PRODUITS/P%C3%82TISSERIE/TARTES-%26-TARTELETTES/TARTE-CROUSTILLANTE-ABRICOT-AMANDE-D-240-CRU-900G/p/841644;2026-09-10
Coup de Pates;841642;TARTELETTE CROUSTILLANTE ABRICOT AMANDE D 105 CRU 145G;PATI;autres-patisseries;145g;24;https://shop.coupdepates.fr/TOUS-LES-PRODUITS/P%C3%82TISSERIE/TARTES-%26-TARTELETTES/TARTELETTE-CROUSTILLANTE-ABRICOT-AMANDE-D-105-CRU-145G/p/841642;2026-09-10
Coup de Pates;841648;MACARON VANILLE CHOCOLAT CARAMEL CUIT 90G;PATI;macarons;90g;15;https://shop.coupdepates.fr/TOUS-LES-PRODUITS/P%C3%82TISSERIE/ENTREMETS/MACARON-VANILLE-CHOCOLAT-CARAMEL-CUIT-90G/p/841648;2026-09-10
Coup de Pates;70167;TARTE POMME RHUBARBE CUITE D 230 720G;PATI;autres-patisseries;720g;5;https://shop.coupdepates.fr/TOUS-LES-PRODUITS/P%C3%82TISSERIE/TARTES-%26-TARTELETTES/TARTE-POMME-RHUBARBE-CUITE-D-230-720G/p/70167;2026-09-10
Coup de Pates;70229;TARTELETTE PASSION COCO MERINGUEE D 100 CUIT 130G;PATI;autres-patisseries;130g;18;https://shop.coupdepates.fr/TOUS-LES-PRODUITS/P%C3%82TISSERIE/TARTES-%26-TARTELETTES/TARTELETTE-PASSION-COCO-MERINGUEE-D-100-CUIT-130G/p/70229;2026-09-10
Coup de Pates;70233;TARTELETTE CROUSTILLANTE POIRE CHOCOLAT D 105 CRU 120G;PATI;autres-patisseries;120g;24;https://shop.coupdepates.fr/TOUS-LES-PRODUITS/P%C3%82TISSERIE/TARTES-%26-TARTELETTES/TARTELETTE-CROUSTILLANTE-POIRE-CHOCOLAT-D-105-CRU-120G/p/70233;2026-09-10
Coup de Pates;70232;CHARLOTTINE CITRON MERINGUEE D 80 CUIT 95G;PATI;patisserie;95g;12;https://shop.coupdepates.fr/TOUS-LES-PRODUITS/P%C3%82TISSERIE/ENTREMETS/CHARLOTTINE-CITRON-MERINGUEE-D-80-CUIT-95G/p/70232;2026-09-10
Coup de Pates;70235;FINGER CAKE CARAMEL CUIT 70G;PATI;autres-patisseries;70g;16;https://shop.coupdepates.fr/TOUS-LES-PRODUITS/P%C3%82TISSERIE/G%C3%82TEAUX/FINGER-CAKE-CARAMEL-CUIT-70G/p/70235;2026-09-10
Coup de Pates;70236;TARTE POIRE BOURDALOUE PREDECOUPEE D 270 CUIT 750G;PATI;autres-patisseries;750g;6;https://shop.coupdepates.fr/TOUS-LES-PRODUITS/P%C3%82TISSERIE/TARTES-%26-TARTELETTES/TARTE-POIRE-BOURDALOUE-PREDECOUPEE-D-270-CUIT-750G/p/70236;2026-09-10
Coup de Pates;70237;TARTE CHOCOLAT PREDECOUPEE D 270 CUIT 750G;PATI;autres-patisseries;750g;8;https://shop.coupdepates.fr/TOUS-LES-PRODUITS/P%C3%82TISSERIE/TARTES-%26-TARTELETTES/TARTE-CHOCOLAT-PREDECOUPEE-D-270-CUIT-750G/p/70237;2026-09-10
Coup de Pates;70238;TARTE POMME PREDECOUPEE D 270 CUIT 1000G;PATI;autres-patisseries;;6;https://shop.coupdepates.fr/TOUS-LES-PRODUITS/P%C3%82TISSERIE/TARTES-%26-TARTELETTES/TARTE-POMME-PREDECOUPEE-D-270-CUIT-1000G/p/70238;2026-09-10
Coup de Pates;70240;1/2 CADRE FRAISIER CUIT 3390G;PATI;autres-patisseries;;1;https://shop.coupdepates.fr/TOUS-LES-PRODUITS/P%C3%82TISSERIE/ENTREMETS/1-2-CADRE-FRAISIER-CUIT-3390G/p/70240;2026-09-10
Coup de Pates;70241;FRAISIER INDIVIDUEL CUIT 105G;PATI;patisserie;105g;16;https://shop.coupdepates.fr/TOUS-LES-PRODUITS/P%C3%82TISSERIE/ENTREMETS/FRAISIER-INDIVIDUEL-CUIT-105G/p/70241;2026-09-10
Coup de Pates;70269;TARTELETTE CROUSTILLANTE NORMANDE D 105 CRU 130G;PATI;autres-patisseries;130g;24;https://shop.coupdepates.fr/TOUS-LES-PRODUITS/P%C3%82TISSERIE/TARTES-%26-TARTELETTES/TARTELETTE-CROUSTILLANTE-NORMANDE-D-105-CRU-130G/p/70269;2026-09-10
